iter	RMSE
0	1.435824091
1	1.361692523
2	1.289407099
3	1.221622104
4	1.155451827
5	1.094879363
6	1.036214571
7	0.9801493296
8	0.9282635763
9	0.8784233835
10	0.8325907958
11	0.7884827016
12	0.7493998376
13	0.7139357162
14	0.6790300055
15	0.6450377681
16	0.6132728402
17	0.5835076348
18	0.5569053591
19	0.5317790458
20	0.5059348458
21	0.4810052201
22	0.45837622
23	0.4381617698
24	0.4176024534
25	0.4002740085
26	0.3828870601
27	0.3680411329
28	0.3521120055
29	0.3373105544
30	0.324167589
31	0.3129696451
32	0.3023601583
33	0.2911054391
34	0.2825101309
35	0.2743151512
36	0.2663514813
37	0.2585197385
38	0.2506470707
39	0.2445617281
40	0.2378469602
41	0.2329634444
42	0.2272140158
43	0.2229636666
44	0.2186711775
45	0.2153408842
46	0.2118434529
47	0.2091006333
48	0.2062588228
49	0.2038555028
50	0.2011943693
51	0.1991840585
52	0.1974659673
53	0.1947356071
54	0.1928504981
55	0.1911387657
56	0.1891235074
57	0.1872410928
58	0.1855168226
59	0.1840342774
60	0.1831175634
61	0.182342096
62	0.1815685887
63	0.1809196935
64	0.1803095329
65	0.1798118843
66	0.179283936
67	0.1786785982
68	0.1783176801
69	0.1780191577
70	0.1776803676
71	0.177324168
72	0.1769874112
73	0.176597386
74	0.176299027
75	0.1760435473
76	0.1758116936
77	0.1755775249
78	0.1753594318
79	0.175121271
80	0.1744760754
81	0.1742772095
82	0.1740533822
83	0.1738510904
84	0.1736068413
85	0.1734793109
86	0.173333885
87	0.1731789947
88	0.172836783
89	0.1727096284
90	0.1726249663
91	0.1724869806
92	0.1722312937
93	0.1720187746
94	0.1719255594
95	0.1717579316
96	0.1716639197
97	0.1715861573
98	0.1713590576
99	0.1712479244
100	0.1711507816
101	0.1710026339
102	0.1709264616
103	0.1707888763
104	0.170430461
105	0.170337797
106	0.1702643966
107	0.1701927848
108	0.1701063635
109	0.1699973788
110	0.1696694262
111	0.169580386
112	0.1694480793
113	0.1693960751
114	0.1692444526
115	0.1691139952
116	0.1690362916
117	0.1689316295
118	0.1688618344
119	0.1687451148
120	0.1686541349
121	0.1685378199
122	0.1683794911
123	0.1682545967
124	0.1681294981
125	0.1679909926
126	0.1679183153
127	0.1678421866
128	0.167684511
129	0.1675927153
130	0.1675129084
131	0.1674902422
132	0.1674129673
133	0.1672846898
134	0.1671874849
135	0.1670500934
136	0.1669202889
137	0.1668486655
138	0.1668044996
139	0.1667277465
140	0.166662441
141	0.1666152151
142	0.1664755959
143	0.1663972291
144	0.1663402801
145	0.166260826
146	0.1661529944
147	0.1661017115
148	0.1660196638
149	0.1658890043
150	0.1657684459
151	0.1656940377
152	0.1655913633
153	0.1654657509
154	0.1653622974
155	0.1653160931
156	0.1651826433
157	0.1651347211
158	0.1650509446
159	0.1650145015
160	0.1648928722
161	0.1647761805
162	0.1647073005
163	0.1646274319
164	0.1645509999
165	0.1644481943
166	0.1643835081
167	0.1642979141
168	0.1642432994
169	0.1640698253
170	0.1639947596
171	0.1639230291
172	0.1638735621
173	0.1638066861
174	0.1637093009
175	0.1636618457
176	0.1635234882
177	0.1634585874
178	0.1633941541
179	0.1633274387
180	0.163255146
181	0.163191573
182	0.1630683728
183	0.1629847406
184	0.1628930121
185	0.1628465589
186	0.1627765099
187	0.1626727728
188	0.1626234021
189	0.1625019626
190	0.1623775325
191	0.1623101054
192	0.1622399926
193	0.1621579492
194	0.1620340825
195	0.1619292631
196	0.161838238
197	0.1617713841
198	0.1617092333
199	0.1616323148
200	0.1615485355
201	0.1614690749
202	0.1613903218
203	0.1613133662
204	0.1612452864
205	0.1611580021
206	0.1610788427
207	0.1610189738
208	0.1609495873
209	0.1608912026
210	0.1608213137
211	0.1607656163
212	0.1606635841
213	0.1605533972
214	0.1604921174
215	0.1604422041
216	0.1603428304
217	0.160255084
218	0.1602056065
219	0.1601412887
220	0.1600774031
221	0.1599963933
222	0.159954041
223	0.1598871687
224	0.1597594256
225	0.1596917218
226	0.1596401921
227	0.1595808865
228	0.1594887928
229	0.1594276268
230	0.1593707643
231	0.159309554
232	0.1592426407
233	0.1591765318
234	0.1591431344
235	0.1590610284
236	0.159007419
237	0.1589587408
238	0.1588988218
239	0.1588481641
240	0.1587764984
241	0.1587185637
242	0.1586629879
243	0.1585943544
244	0.1585334455
245	0.1584757694
246	0.1583701338
247	0.1583335428
248	0.1582888665
249	0.1582248483
250	0.1581179828
251	0.1580708827
252	0.1580434268
253	0.1580027051
254	0.1579547976
255	0.1578911961
256	0.1578037533
257	0.1577661243
258	0.1577302222
259	0.1576752185
260	0.1575858403
261	0.1575364678
262	0.1575043546
263	0.1574552233
264	0.1574063113
265	0.1573611265
266	0.1573171456
267	0.1572326793
268	0.1571902605
269	0.1571477852
270	0.1570747236
271	0.1570341116
272	0.1569827385
273	0.1569386709
274	0.156853131
275	0.1567738006
276	0.1567380445
277	0.1566672787
278	0.1566284702
279	0.1565866481
280	0.1565562553
281	0.1564784745
282	0.1564439202
283	0.1564040148
284	0.1563708495
285	0.1563126054
286	0.1562576055
287	0.1562311095
288	0.15616912
289	0.1561035956
290	0.1560543836
291	0.1559851893
292	0.1559270718
293	0.1558764275
294	0.1558398344
295	0.1557744583
296	0.1557146508
297	0.155697236
298	0.1556269625
299	0.1555765021
300	0.1555282826
301	0.1554584521
302	0.1554326311
303	0.1554024735
304	0.1553592215
305	0.1552684835
306	0.1552116237
307	0.1551877449
308	0.155118509
309	0.1550530826
310	0.1549907387
311	0.1549474016
312	0.1548997201
313	0.1548494832
314	0.1547944886
315	0.1547362452
316	0.1546911351
317	0.1546656215
318	0.154601508
319	0.1545527842
320	0.1545059089
321	0.1544434475
322	0.1543866742
323	0.1543424847
324	0.1543198471
325	0.154283997
326	0.1542237429
327	0.1541481107
328	0.1540887388
329	0.1540300228
330	0.1540040745
331	0.1539271251
332	0.1538654101
333	0.1537971895
334	0.1537652918
335	0.1537366321
336	0.1536673288
337	0.1536413607
338	0.1536092091
339	0.1535876938
340	0.1535542769
341	0.1534994181
342	0.153480814
343	0.1534322154
344	0.1533542132
345	0.1533203387
346	0.1532802145
347	0.1532461606
348	0.1532150946
349	0.1531846284
350	0.1531561341
351	0.1531272586
352	0.1531019346
353	0.1530269176
354	0.1529458935
355	0.1529092286
356	0.1528866222
357	0.1528001082
358	0.1527703569
359	0.1527251076
360	0.152714124
361	0.1526850841
362	0.1526471102
363	0.1526220512
364	0.1525549092
365	0.1525388819
366	0.1524774846
367	0.1524450975
368	0.1523914526
369	0.1523613178
370	0.1523338714
371	0.152305808
372	0.1522791786
373	0.1522489114
374	0.1522119736
375	0.15216026
376	0.1521146595
